"ID","CLCA1","CSF3","CXCL1","CXCL2","CXCL3","IL8","POSTN","SERPINB2"
"GSM1977062",3.102661911,4.614637256,8.31697157,3.595494269,4.506629901,5.381481219,4.149476453,1.93337827
"GSM1977063",2.169070216,4.555114317,9.121699469,4.018773749,3.932324751,4.97496065,4.529300161,1.885977314
"GSM1977064",2.661012115,4.812645017,9.811891638,4.464047514,4.482373488,6.098958674,3.8197544445,1.27279099
"GSM1977065",2.669619077,4.620893693,9.609984548,4.620288885,4.838339576,6.2388119355,4.307182872,3.21733418
"GSM1977066",2.71832204,4.585149415,8.002116742,3.9320526155,5.443688223,4.8744410815,3.4889080415,1.538148921
"GSM1977067",3.513036845,4.512476393,9.527795056,3.8333849255,4.745170743,5.0425429,4.88089508525,2.012973442
"GSM1977068",2.688788575,4.733980072,8.813394032,3.1902817635,4.576273814,5.9371037125,4.34691394425,1.701445078
"GSM1977069",3.459732045,5.572554987,9.102826796,3.6985856375,4.818601067,6.6789614535,4.40071897625,2.123090427
"GSM1977070",2.878437836,4.335911592,7.860107546,3.3655136065,4.895077627,4.7990693765,5.4576529525,3.02900846
"GSM1977071",2.606961581,3.948652562,8.962949482,4.1867661265,3.962668705,5.99058035,4.680188975,6.336739776
"GSM1977072",2.793576738,4.403445227,9.417408653,4.10866016,4.415344226,6.310884367,4.99811714925,1.554995981
"GSM1977073",3.267668117,5.026756483,8.411602238,2.7846703295,4.288680939,5.8544457805,4.4966626945,1.550976832
"GSM1977074",2.646942932,4.764076574,8.992304733,3.856705673,4.315745615,5.9965249465,3.76065499225,2.261965487
"GSM1977075",2.857292439,4.881815828,8.870750602,3.9883329415,4.853438732,6.547671804,4.01886087925,1.579715959
"GSM1977076",2.573438419,4.472922418,9.084057135,2.8573432995,4.4103868,5.755649954,4.72174225025,2.192079489
"GSM1977077",3.892120931,4.127480261,7.517034412,2.237035,4.080984919,5.309676355,5.68651146675,3.489479784
"GSM1977078",2.842888658,4.623534972,9.226537067,4.385928977,4.664181972,6.1231651065,4.289076089,2.23188246
"GSM1977079",2.59563028,4.602722561,8.179018683,3.828155078,4.306560335,5.726096729,4.20880728675,2.4130694
"GSM1977080",3.173828162,4.336030508,7.377912748,3.192733714,4.395890295,5.095898178,5.18228199725,1.864157914
"GSM1977081",2.612967867,4.583614551,9.207090153,4.8188189565,4.214055343,5.740267785,5.24539934475,3.256631461
"GSM1977082",2.956228749,4.684756154,8.698915054,4.6803178235,5.193044445,6.4408486945,3.95334847275,1.530269349
"GSM1977083",2.596780745,4.137173581,8.747287838,3.631728172,5.199680443,5.6931315635,3.899217524,2.720127565
"GSM1977084",2.509841118,4.173929167,6.98886137,2.8244480755,3.98134487,5.101730463,5.330610081,2.316190926
"GSM1977085",2.803700743,4.472133336,5.956057025,2.2782579025,4.386438884,6.320101614,3.458092005,2.235064057
"GSM1977086",3.27435852,4.273691856,6.987796335,2.512124522,4.253508359,4.719388687,4.91866135975,2.049783992
"GSM1977087",2.652835433,4.698835936,9.387914791,3.16536551,4.188361212,5.395343687,4.33991238175,1.294603537
"GSM1977088",3.749828995,4.794260174,8.355979264,3.542574367,4.802131238,5.6383433345,5.79312997125,3.210553795
"GSM1977089",2.764725671,4.26771938,9.597351892,4.2328530385,4.321710615,5.8051993115,4.24730400325,3.069460617
"GSM1977090",2.819542853,4.230208708,8.302205686,3.7987436175,4.09997535,5.664206383,4.1825209265,6.033424785
"GSM1977091",3.158978871,4.161766616,6.931152913,2.0602135975,3.666279989,4.896336035,5.0930441015,5.115584529
"GSM1977092",2.941916217,4.440152665,8.33318795,2.7445087405,3.964831571,5.881412259,3.56181244875,2.039540382
"GSM1977093",3.181823849,4.454442407,7.021685067,4.1114878265,4.4041521,4.889702756,4.32490750575,1.836876789
"GSM1977094",2.263100409,4.556509146,9.842573058,5.638607982,4.758942217,6.6454146685,3.75918282,1.987504779
"GSM1977095",2.811188043,4.164410255,8.824197793,4.3990880965,4.043559205,5.5243084715,5.065541539,2.901852444
"GSM1977096",2.620661328,3.979987423,7.753861786,3.0515374745,4.460570829,5.7819694745,3.76466475625,2.849321794
"GSM1977097",3.3084928,4.327363627,7.978949501,2.681823783,4.381331933,5.3962240655,5.20384987925,2.961886995
"GSM1977098",2.86101151,4.38477984,9.429821611,3.6013149545,4.805812269,5.739807328,3.88692806125,2.476412087
"GSM1977099",3.138452325,4.497935996,9.515647451,4.9489906815,4.366994994,5.961184828,4.922625119,2.196661821
"GSM1977100",2.594664828,4.568455519,9.838973603,5.3522580685,4.456351675,6.327175217,4.83315763575,2.502168063
"GSM1977101",3.200556702,4.103837966,9.658506637,3.7160446055,4.452303356,6.869782617,3.8591649455,3.375076756
"GSM1977102",2.789284475,4.515714439,9.338679348,4.991209373,4.442025656,5.6254493455,5.1585108355,1.681491557
