"Sample_ID","CLCA1","CSF3","CXCL1","CXCL2","CXCL3","IL8","POSTN","SERPINB2"
"GSM1977153",4.396689931,5.019592483,9.36513305,2.466311993,4.059542163,7.162397613,5.4084566365,4.696639448
"GSM1977154",4.475499958,4.574423178,8.071129891,2.969138371,4.33624354,6.254245965,4.03868152075,3.444975551
"GSM1977155",3.517962498,4.568799507,8.312356762,2.0432004455,3.802954939,6.0598271565,5.2276502455,2.774495264
"GSM1977156",4.308451667,5.899758561,9.449827518,4.8045992835,5.11862443,8.0279667705,2.24140150025,3.514862616
"GSM1977157",3.436049484,4.646547354,8.064999029,2.9206257155,4.264244154,7.2612908165,4.11745467125,3.390797806
"GSM1977158",4.120601643,5.391809888,8.947629683,4.573456152,4.605251525,6.476654055,3.37841467,1.990298604
"GSM1977159",3.617113081,4.75961334,9.315691776,3.4890193845,4.047928789,5.4420437865,2.415043402,2.89729031
"GSM1977160",3.532782291,5.167058453,9.095657247,4.215526169,4.39802861,7.142805406,2.206094064,2.11037183
"GSM1977161",3.969927815,4.685120652,9.240495709,2.83340043,4.97724945,6.351856559,5.3158400315,2.962506859
"GSM1977162",3.562401486,4.91996476,8.682657762,3.324145887,6.268306973,10.195725825,3.622847232,6.756841865
"GSM1977163",7.10481718,4.91171224,8.663341558,3.250502272,4.701773293,6.9629065615,4.887543834,5.981004716
"GSM1977164",3.64624626,5.406793015,9.312064057,3.4905933225,4.206766557,7.799555073,3.32165953625,2.764064424
"GSM1977165",3.811164388,5.315205398,8.24604698,3.8224298305,4.377492144,6.7790461315,2.368586307,2.610552539
"GSM1977166",3.344177449,4.855986346,9.085562515,4.719912239,4.778840877,8.9254906685,3.53901281525,6.175848386
"GSM1977167",3.422401159,4.70157407,8.86658124,3.1792418055,4.144129876,7.0593426625,2.75053165275,2.421923044
"GSM1977168",3.620016876,5.299355136,10.14387567,4.888466327,4.253139449,7.22371217,2.77369752325,3.212933112
"GSM1977169",3.671710736,5.707671999,10.26681397,5.590508839,5.065545521,7.941727473,2.80777202025,1.77001244
"GSM1977170",3.220201148,5.044947489,8.952001677,3.131220137,4.356294944,7.1229279855,4.2269312,3.414963051
"GSM1977171",3.059729726,5.089814996,10.04996224,4.009923329,5.622672147,7.0482318625,4.599475204,4.09378911
"GSM1977172",3.441897167,4.997680181,9.666334071,4.209017519,4.261388419,7.5716972645,3.7579533115,3.912787862
"GSM1977173",3.074179251,5.689018614,10.49393493,5.760780485,4.549251759,7.986103087,4.09726665825,2.817751295
"GSM1977174",3.864847403,4.808463006,9.999793216,3.2590071765,4.441615421,6.9848889175,3.42988218975,3.16477066
"GSM1977175",4.135108581,5.817123604,9.076600996,5.2294470645,4.941414192,10.440583365,2.6414297295,2.597687407
"GSM1977176",4.545363426,5.587716099,9.502042945,4.250370687,5.130468779,7.765661354,2.7723766445,3.207941349
"GSM1977177",3.92996516,5.318299594,10.03943181,6.7660849255,5.690268679,12.08939418,2.752706525,4.597576083
"GSM1977178",3.691957699,4.823001852,8.776546292,3.232957597,3.824186601,5.903472927,4.9264159845,3.933053799
"GSM1977179",4.203614382,4.974035483,8.5088522,5.1967940005,6.654766818,9.67221569,3.43622206775,1.976295017
"GSM1977180",7.306609018,5.157553211,7.551798575,2.9611950705,4.59708467,8.134287795,5.0661080135,6.615993748
"GSM1977181",3.451201895,4.682315999,9.638153171,3.8259620775,4.679152275,7.116160819,2.745767019,2.438489302
"GSM1977182",3.846206998,4.489502329,10.18735444,5.1604899865,4.636794997,6.956255347,6.11883469475,6.389560297
"GSM1977183",3.647643965,5.260401055,8.680226972,3.4961642335,4.118487084,7.236890775,2.8330763765,2.093996066
"GSM1977184",3.464583189,4.764210577,9.170335937,3.5858987325,4.26660241,8.864665719,2.42378539375,2.929299079
"GSM1977185",3.166932444,5.046246042,9.122892166,2.9041136285,4.985714257,7.056293846,4.11688217225,4.072331404
"GSM1977186",4.43073575,4.767609814,8.720473577,3.5666531005,4.474768277,10.04407549,4.7214770355,5.135628396
"GSM1977187",3.987371561,4.73743895,9.38675213,3.3190959565,4.368185527,5.85860427,4.639761113,2.815204366
"GSM1977188",7.697548347,5.347331459,7.892046761,2.939581835,4.266089653,6.051860129,4.6100376235,6.380478227
"GSM1977189",3.525174052,4.883051635,8.996560667,3.93093966,4.2319339,6.533817978,3.3626271495,3.026869709
"GSM1977190",3.325698153,5.049145285,9.31212456,3.5369294705,4.083621896,6.9812074915,3.4005446025,2.505621038
"GSM1977191",3.597009371,4.510674913,9.031815072,4.172274547,3.883021796,6.1834095925,2.68730289625,2.146280236
"GSM1977192",3.264878099,5.101283306,9.277120839,3.775752045,4.166682613,6.852119463,2.53837846325,2.707363715
"GSM1977193",5.434085628,4.560822151,8.095999335,2.5419908425,4.055019753,5.832013542,5.0684510795,5.367042767
"GSM1977194",3.619014477,4.40272002,8.670680684,3.3693689685,4.249214635,5.768244873,4.95481046875,3.371760321
"GSM1977195",3.472597447,5.701985971,9.49069932,5.591892402,5.709204982,7.364954554,2.48074009175,3.861577279
"GSM1977196",3.648020096,4.369748092,9.069843513,2.760385056,3.993731682,6.896043109,4.0576618645,3.486012078
"GSM1977197",3.32879719,5.035191747,9.059411142,4.391511882,4.333643835,6.306838241,4.57261343275,4.564861989
"GSM1977198",3.922256194,5.178699479,8.115027346,4.310444366,4.207452996,7.8516102295,3.30919942375,2.388084289
"GSM1977199",3.425293914,4.931334709,8.9741526,2.7633669355,4.30599433,7.0265748455,3.6142611735,3.797662176
"GSM1977200",4.116768047,5.184571888,9.48657319,3.1665419115,4.50958679,7.3562178525,3.464186801,4.738485791
"GSM1977201",7.291306808,4.522502547,8.503759572,2.342567259,4.205728532,4.841597299,6.23314874225,6.93232716
"GSM1977202",3.327302033,5.070184158,10.56489773,4.8150596875,4.316638462,7.255592866,2.165953982,5.66369166
"GSM1977203",5.040766378,4.552734844,8.753622671,3.221468689,4.244717189,6.422961298,6.144107312,7.901397831
"GSM1977204",3.909542865,4.798551916,9.166061767,3.7886623465,5.541881027,8.076770342,4.7613291855,6.474610258
"GSM1977205",3.358463865,4.691428673,9.051839799,2.949891713,4.1961733,6.3627114665,2.55499191775,3.809621411
"GSM1977206",3.489361654,5.379227449,8.644917317,3.5268510115,4.231038009,6.6708654865,4.0257214945,4.968093562
"GSM1977207",4.070503435,4.701008815,8.330569413,3.3926551225,4.579884826,9.2330249735,3.1617828155,5.331161569
"GSM1977208",3.129018713,4.942952596,8.925204868,3.771029216,4.405147967,7.8053748695,2.15873045375,1.61791266
"GSM1977209",3.393001432,4.738378291,8.911642375,4.331644454,4.454294051,8.042022045,2.75276637075,2.117587637
"GSM1977210",3.360218803,4.909349035,9.366300737,2.924159949,4.739305451,6.277091847,3.63382927325,3.237945527
"GSM1977211",2.724487922,4.741825124,8.897840483,4.2706651465,4.296127596,6.5338129325,3.98512563875,2.241736571
"GSM1977212",3.390731345,4.643446811,8.521477333,3.41804522,4.306734551,6.2820459065,4.18928577325,2.727386219
"GSM1977213",3.738470873,5.804649786,9.199224903,4.2346854225,4.604452516,7.823492043,2.367860676,2.39556613
"GSM1977214",3.579071573,4.995054332,9.630885032,5.1039246135,4.462480984,7.0101615385,3.928885828,2.53487983
"GSM1977215",3.34933366,5.05128181,9.820253387,4.0033301075,4.320419006,6.528145958,3.81897780825,2.391126519
"GSM1977216",4.494788681,5.51875162,9.29388844,4.214584143,4.557633579,11.903689925,5.328832883,6.640899493
"GSM1977217",3.160872603,4.999274707,8.969919416,2.918213334,4.123248224,7.081235443,3.72462897225,1.932364401
"GSM1977218",3.36527744,5.373138365,10.01684359,3.8101180065,4.574705066,7.483031128,3.4634575605,3.179851547
"GSM1977219",3.851887532,6.380135541,10.19793783,4.0866396765,5.326645903,8.82685372,3.28656551025,5.050158692
"GSM1977220",8.238314466,4.89384442,7.343679285,3.3062079825,4.400954812,7.949524469,5.15481571775,7.742124584
"GSM1977221",3.88215754,5.606157891,8.549556464,3.293725835,5.036120429,8.567933343,2.6416729355,5.402345344
"GSM1977222",3.397526902,4.934855387,7.21423313,2.606269088,3.981312698,6.84594173,2.90063923325,2.560959034
"GSM1977223",3.537854707,5.899184276,9.717722168,4.3669272305,5.106788627,7.54851618,2.5167142285,2.641979924
"GSM1977224",4.186410617,4.355009397,8.722986342,3.4260215145,4.18620914,7.069159282,2.98178002575,4.820991028
"GSM1977225",3.895061084,5.200049128,8.697274414,2.446701774,4.183249338,7.1798512845,2.305659214,5.315274467
"GSM1977226",3.418718094,4.89492512,9.598064494,3.8305072435,4.06091248,6.610680836,4.39311586275,2.444688686
"GSM1977227",3.932212406,4.983283564,9.370412058,3.2709944565,4.046797881,6.333373917,5.076309748,2.25251379
"GSM1977228",3.358480522,5.925170228,8.851477475,2.815824435,4.36920008,6.922625608,2.9443590815,2.093616527
"GSM1977229",3.605923695,4.509901981,8.059994323,2.8807338745,4.49321935,6.1703013445,3.300614426,2.385314928
"GSM1977230",4.612581774,4.953510718,8.580121583,2.847247157,4.172332132,6.506625197,3.840359688,3.238571156
"GSM1977231",3.210155455,4.820450675,8.45772639,2.6793648535,4.6113789,5.856971726,3.50569504775,4.115217012
"GSM1977232",3.082244019,4.950243749,9.230630451,3.180765045,5.018053888,6.154365653,4.3051249375,6.614830658
"GSM1977233",3.398487155,5.006760639,8.068804193,2.4851022215,3.837657825,5.8241173815,4.525819037,4.243043298
"GSM1977234",3.712747286,5.231222709,8.399406927,2.869854241,4.330208915,7.0718454905,4.04190601875,4.412960557
"GSM1977235",3.552547775,4.562946105,8.872733552,3.724073491,4.008340143,7.1601987245,2.88901662875,3.566366963
"GSM1977236",3.244072373,5.062462904,9.299364148,3.5298216615,4.36990091,6.527304179,3.33004587325,1.771108156
"GSM1977237",3.297740481,5.405897131,9.634125603,2.837983858,4.112654881,6.7533007,2.94981374325,2.168557641
"GSM1977238",3.52415899,5.392330243,8.405409564,3.9843860805,4.216511835,7.1617213085,2.7870662625,2.133685634
"GSM1977239",4.24465485,5.553755989,9.10419022,4.3142517885,5.2285074,8.790013096,3.9451336585,6.387891301
"GSM1977240",5.075194131,4.856825381,7.931700817,2.822923774,4.406172533,7.4792969615,4.866394746,4.315149667
"GSM1977241",3.618526374,4.517273557,9.000877588,3.7646152115,4.056175409,5.942559074,3.46006661425,2.061209149
"GSM1977242",6.708660552,5.603899511,8.055426923,2.718470009,4.350016144,6.4757226525,4.97902746,6.222589164
"GSM1977243",5.918246016,4.686983525,7.400549708,2.2178202515,4.161018585,6.879756663,5.3625136105,7.385762193
"GSM1977244",5.546651449,4.633974301,8.774296948,3.1440599305,4.222858081,6.8184075395,7.17504101375,8.636208969
"GSM1977245",3.819926421,5.46578996,8.635916333,2.794923237,4.697053997,6.9282237245,3.143290568,4.800628171
"GSM1977246",5.34243372,5.035214935,7.140648287,3.052936214,4.553648823,6.322987527,4.66670420425,4.96630638
"GSM1977247",3.59242778,5.221617,10.15970808,4.0553977905,4.400370854,6.874364309,3.72568742475,1.838223772
"GSM1977248",3.508444438,5.090802606,8.480822414,4.596813308,5.089185787,7.6968873765,3.42255778425,2.496647016
"GSM1977249",3.485500868,4.462375943,8.873710652,3.0887677685,4.465364285,6.5368919525,2.8536604875,1.801202049
"GSM1977250",3.562714299,5.87039914,9.961139649,5.5840860255,5.817582967,7.565419633,2.838623898,2.199580121
