Biopsy_GSE76225,Brushing_GSE76226,Paired,brushing_k_means,biopsy_k_means,brushing_hierarchical,biopsy_hierarchical,brushing_k_medoids,biopsy_k_medoids,brushing_gaussian_mixture,biopsy_gaussian_mixture,brushing_spectral,biopsy_spectral
GSM1977062,GSM1977153,True,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2HIGH / T17LOW,T2LOW / T17LOW,T2HIGH / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977063,GSM1977154,True,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2HIGH / T17LOW,T2LOW / T17LOW,T2HIGH / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977064,GSM1977155,True,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17HIGH,T2HIGH / T17LOW,T2LOW / T17HIGH,T2HIGH / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977065,GSM1977156,True,T2LOW / T17HIGH,T2LOW / T17HIGH,T2LOW / T17HIGH,T2LOW / T17HIGH,T2LOW / T17HIGH,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977066,GSM1977157,True,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977067,GSM1977158,True,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977068,GSM1977159,True,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977069,GSM1977160,True,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977070,GSM1977161,True,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2HIGH / T17LOW,T2HIGH / T17LOW,T2HIGH / T17LOW,T2LOW / T17HIGH,T2LOW / T17HIGH
GSM1977071,GSM1977162,True,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW,T2LOW / T17HIGH,T2HIGH / T17LOW,T2LOW / T17HIGH,T2LOW / T17LOW
GSM1977072,GSM1977163,True,T2HIGH / T17LOW,T2LOW / T17HIGH,T2HIGH / T17LOW,T2LOW / T17HIGH,T2HIGH / T17LOW,T2LOW / T17HIGH,T2HIGH / T17LOW,T2LOW / T17LOW,T2LOW / T17LOW,T2LOW / T17HIGH
